columna,n,n_nulos,n_categorias,dominante,pct_dominante,top_5,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos
orig_ruta,682,0,260.0,Portal Usme,3.37,Portal Usme=23 | Portal Suba=20 | Portal Tunal=19 | Portal 80=15 | Metrovivienda=15,,,,,,,,,,,,,,,,,,
dest_ruta,682,0,355.0,Germania,2.2,Germania=15 | Metrovivienda=12 | Portal Usme=11 | Portal Américas=11 | Porciuncula=10,,,,,,,,,,,,,,,,,,
fec_impl,682,0,260.0, ,19.21, =131 | 26/03/2015=39 | 22/05/2021=16 | 17/02/2014=15 | 16/01/2021=11,,,,,,,,,,,,,,,,,,
loc_orig,682,0,,,,,0.0,19.0,8.1393,8.0,11.0,4.5217,0.0,19.0,19.0,5.0,11.0,6.0,0.5409,0.1848,55.5543,0.0,0.0,False
loc_dest,682,0,,,,,0.0,19.0,8.0894,8.0,11.0,4.817,0.0,19.0,19.0,4.0,11.0,7.0,0.5539,-0.1193,59.5467,0.0,0.0,False
long_ruta,682,0,,,,,0.0,680.0,506243.1859,25.3344,39.3631,3991614.393,3.0212,52546499.0,52546495.9788,12.1686,37.4064,25.2378,9.0785,90.1178,788.4777,15.0,2.2,False
oper_ruta,682,0,22.0,No Aplica,17.89,No Aplica=122 | CONSORCIO EXPRESS USAQUEN N=76 | ETIB BO=69 | MASIVO CAPITAL KE=64 | GMOVIL ENGATIVA E=53,,,,,,,,,,,,,,,,,,
cod_ruta,682,0,677.0,MP85,0.29,MP85=2 | 7-1-1a=2 | HA680-3=2 | B919-2=2 | LG816-3=2,,,,,,,,,,,,,,,,,,
zon_dest,682,0,,,,,0.0,15.0,6.6393,7.0,12.0,4.3163,0.0,14.0,14.0,3.0,11.0,8.0,-0.0586,-1.3184,65.0112,0.0,0.0,False
zon_orig,682,0,,,,,0.0,15.0,6.7287,7.0,8.0,4.2663,0.0,14.0,14.0,3.0,11.0,8.0,-0.0414,-1.3276,63.4034,0.0,0.0,False
hor_habil,681,1,133.0,4:00 a. m. - 11:00 p. m.,14.08,4:00 a. m. - 11:00 p. m.=96 | 4:00 a. m. - 10:00 p. m.=72 | 4:00 a. m. - 12:30 a. m.=54 | 3:00 a. m. - 10:00 p. m.=32 | 4:30 a. m. - 12:30 a. m.=26,,,,,,,,,,,,,,,,,,
hor_sab,662,20,107.0,4:00 a. m. - 11:00 p. m.,12.17,4:00 a. m. - 11:00 p. m.=83 | 4:00 a. m. - 10:00 p. m.=78 | 4:00 a. m. - 12:30 a. m.=54 | 4:00 a. m. - 9:00 p. m.=41 |  =31,,,,,,,,,,,,,,,,,,
hor_fest,598,84,88.0,5:00 a. m. - 10:00 p. m.,14.52,5:00 a. m. - 10:00 p. m.=99 | (nulo)=84 |  =67 | 5:00 a. m. - 9:00 p. m.=58 | 4:00 a. m. - 11:30 p. m.=41,,,,,,,,,,,,,,,,,,
est_ruta,682,0,,,,,0.0,2.0,1.0088,1.0,1.0,0.0935,1.0,2.0,1.0,1.0,1.0,0.0,10.5434,109.4854,9.2636,6.0,0.88,False
tip_bus,682,0,,,,,0.0,5.0,3.3226,3.0,3.0,0.9897,1.0,5.0,4.0,3.0,4.0,1.0,-0.4351,0.0992,29.7868,42.0,6.16,False
tip_serv,682,0,,,,,0.0,3.0,1.3504,1.0,1.0,0.57,1.0,4.0,3.0,1.0,2.0,1.0,1.9171,5.2087,42.2073,11.0,1.61,False
dias_oper,682,0,,,,,0.0,4.0,2.783,3.0,3.0,0.5578,1.0,4.0,3.0,3.0,3.0,0.0,-2.1138,4.0017,20.043,121.0,17.74,False
tip_hor,682,0,,,,,0.0,4.0,1.1554,1.0,1.0,0.544,1.0,4.0,3.0,1.0,1.0,0.0,3.7644,13.9133,47.0814,61.0,8.94,False
comp_sitp,682,0,,,,,0.0,2.0,1.8211,2.0,2.0,0.3835,1.0,2.0,1.0,2.0,2.0,0.0,-1.6794,0.8228,21.0606,122.0,17.89,False
ruta_rural,682,0,,,,,0.0,3.0,2.1525,2.0,2.0,0.4405,1.0,3.0,2.0,2.0,2.0,0.0,0.7087,1.0829,20.4646,148.0,21.7,False
route_id,682,0,,,,,0.0,658.0,11618.11,12132.5,0.0,2044.9958,0.0,13190.0,13190.0,10848.25,12792.75,1944.5,-4.2644,21.767,17.6018,16.0,2.35,False
tipo_ruta,682,0,,,,,0.0,3.0,1.0176,1.0,1.0,0.1789,1.0,3.0,2.0,1.0,1.0,0.0,10.5111,111.4318,17.578,7.0,1.03,False
globalid,682,0,682.0,{D5602DFF-2A7E-4229-A20C-3C4A4679722A},0.15,{D5602DFF-2A7E-4229-A20C-3C4A4679722A}=1 | {B4514BF1-B4AC-4F74-931A-29E8500FC5E0}=1 | {9113042F-0736-4259-A7E8-76782829ABE8}=1 | {8B35CEC7-D0BE-4925-8264-1FF746106B7B}=1 | {2CB9A581-430F-46AD-B74E-59D335E56CD6}=1,,,,,,,,,,,,,,,,,,
created_user,559,123,2.0,editorInfraSTS,81.96,editorInfraSTS=559 | (nulo)=123,,,,,,,,,,,,,,,,,,
created_date,559,123,392.0,(nulo),18.04,(nulo)=123 | 2026/06/30 20:19:05+00=2 | 2026/06/30 20:23:22+00=2 | 2026/06/30 20:22:56+00=2 | 2026/06/30 20:20:48+00=2,,,,,,,,,,,,,,,,,,
last_edited_user,682,0,1.0,editorInfraSTS,100.0,editorInfraSTS=682,,,,,,,,,,,,,,,,,,
last_edited_date,682,0,9.0,2026/07/17 21:29:38+00,45.16,2026/07/17 21:29:38+00=308 | 2026/07/17 21:30:33+00=242 | 2026/07/17 21:22:59+00=113 | 2026/07/17 21:25:54+00=6 | 2026/07/17 21:32:02+00=5,,,,,,,,,,,,,,,,,,
shape_Length,682,0,,,,,0.0,682.0,25720.1078,24915.5778,3021.1647,15477.0867,3021.1647,75600.7138,72579.5491,12104.873,36599.3103,24494.4373,0.5489,-0.379,60.175,1.0,0.15,False
OBJECTID,1,0,,,,,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,,,,0.0,0.0,False
NOMBRE,1,0,1.0,EJE PRINCIPAL SEGUNDA LINEA DEL METRO DE BOGOTÁ,100.0,EJE PRINCIPAL SEGUNDA LINEA DEL METRO DE BOGOTÁ=1,,,,,,,,,,,,,,,,,,
Shape_Leng,1,0,,,,,0.0,1.0,15367.8652,15367.8652,15367.8652,,15367.8652,15367.8652,0.0,15367.8652,15367.8652,0.0,,,,0.0,0.0,False
SHAPE_Length,1,0,,,,,0.0,1.0,0.1387,0.1387,0.1387,,0.1387,0.1387,0.0,0.1387,0.1387,0.0,,,,0.0,0.0,False
objectid,20,0,,,,,0.0,20.0,136.45,135.5,126.0,8.4882,126.0,164.0,38.0,130.75,140.25,9.5,1.7569,5.0054,6.2208,1.0,5.0,False
id_trazado,20,0,20.0,TZ002,5.0,TZ002=1 | TZ008=1 | TZ009=1 | TZ015=1 | TZ018=1,,,,,,,,,,,,,,,,,,
long_traz,20,0,,,,,0.0,20.0,6.4142,6.9342,0.641,4.4141,0.641,13.0926,12.4516,2.2167,10.4968,8.2801,0.1524,-1.7118,68.8171,0.0,0.0,False
ori_traz,20,0,14.0,Avenida Calle 80,15.0,Avenida Calle 80=3 | Autopista Norte=2 | Avenida Caracas=2 | Carrera 3=2 | Avenida Calle 6=2,,,,,,,,,,,,,,,,,,
fin_traz,20,0,18.0,Avenida Calle 6,10.0,Avenida Calle 6=2 | Limite del Distrito=2 | Terminal=1 | Portal Americas=1 | Avenida Caracas=1,,,,,,,,,,,,,,,,,,
nom_traz,20,0,19.0,Carrera 7,10.0,Carrera 7=2 | Autopista Norte=1 | NQS Central=1 | Americas=1 | Eje Ambiental=1,,,,,,,,,,,,,,,,,,
le_troncal,20,0,12.0,H,15.0,H=3 | E=2 | C=2 | G=2 | M=2,,,,,,,,,,,,,,,,,,
nom_tronc,20,0,12.0,Caracas Sur,15.0,Caracas Sur=3 | NQS Central=2 | Suba=2 | NQS Sur=2 | Carrera 7=2,,,,,,,,,,,,,,,,,,
fase_tronc,20,0,3.0,FASE I,40.0,FASE I=8 | FASE II=6 | FASE III=6,,,,,,,,,,,,,,,,,,
eta_oper,20,0,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
esta_oper,20,0,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
tipo_tra,20,0,,,,,0.0,2.0,1.2,1.0,1.0,0.4104,1.0,2.0,1.0,1.0,1.0,0.0,1.6245,0.6985,34.1993,4.0,20.0,False
Shape__Length,20,0,,,,,0.0,20.0,6445.7255,6931.9317,641.0452,4370.0686,641.0452,13008.3203,12367.2751,2216.3315,10487.2359,8270.9044,0.1424,-1.6952,67.7979,0.0,0.0,False
globalid,20,0,20.0,{389107A2-D1E1-491D-A369-B896E8CC112F},5.0,{389107A2-D1E1-491D-A369-B896E8CC112F}=1 | {1967B834-BD1E-4148-B185-373D9B648750}=1 | {2526622E-0F8F-4018-8146-84FF6DE5FC65}=1 | {6C1B642D-F281-4915-A52A-2CBC873FAFDD}=1 | {FEE4E75E-9F33-496D-881E-45DBA0EE46BF}=1,,,,,,,,,,,,,,,,,,
objectid,2356,0,,,,,0.0,2356.0,3534.5,3534.5,2357.0,680.2629,2357.0,4712.0,2355.0,2945.75,4123.25,1177.5,0.0,-1.2,19.2464,0.0,0.0,False
id_zat,2356,0,,,,,0.0,1215.0,685.0764,589.5,1.0,506.7435,1.0,1950.0,1949.0,295.0,951.0,656.0,0.921,0.0921,73.9689,5.0,0.21,False
anio_zat,2356,0,,,,,0.0,2.0,2021.0628,2023.0,2023.0,1.9994,2019.0,2023.0,4.0,2019.0,2023.0,4.0,-0.0629,-1.9977,0.0989,0.0,0.0,False
globalid,2356,0,2356.0,{39B5D1C6-E23E-4B67-9404-4B856ADB585C},0.04,{39B5D1C6-E23E-4B67-9404-4B856ADB585C}=1 | {3ADA72D0-240A-4B8F-837D-A83FED18333A}=1 | {D3B1A241-ACF7-41E5-B7DC-87404D2E8E0C}=1 | {641C7C18-F86B-4898-A59B-7CC7E060AC12}=1 | {0FF18B3D-54BF-49EB-ADFE-B501CBD2538B}=1,,,,,,,,,,,,,,,,,,
shape_Length,2356,0,,,,,0.0,2041.0,0.0723,0.0284,0.0065,0.2515,0.0065,3.5087,3.5022,0.0207,0.0393,0.0185,8.3831,77.6711,347.9401,244.0,10.36,False
shape_Area,2356,0,,,,,0.0,2041.0,0.0017,0.0,0.0,0.0139,0.0,0.1919,0.1919,0.0,0.0001,0.0,10.4153,115.7937,833.1945,275.0,11.67,False
